date,pair,pattern,direction,score,entry,stop,t1,outcome
2023-01-31,XAUUSD,INSIDE_FALSE_BREAK,LONG,3,1927.5,1900.0,1935.0,T1_HIT
2023-03-02,EURUSD,LOW_HANGING_FRUIT,LONG,3,1.0625,1.055,1.0775,STOP_HIT
2023-03-02,NZDUSD,LOW_HANGING_FRUIT,LONG,5,0.6225,0.615,0.635,STOP_HIT
2023-03-14,GBPUSD,MONDAY_FALSE_BREAK,SHORT,4,1.215,1.2225,1.205,T1_HIT
2023-04-04,USDCAD,MONDAY_FALSE_BREAK,LONG,6,1.345,1.34,1.3525,T1_HIT
2023-04-04,SP500,MONDAY_FALSE_BREAK,SHORT,6,4100.0,4150.0,4100.0,T1_HIT
2023-04-06,XAUUSD,FIRST_RED_DAY,SHORT,6,2007.5,2022.5,1977.5,STOP_HIT
2023-05-02,USDCHF,INSIDE_FALSE_BREAK,SHORT,4,0.8925,0.9,0.89,T1_HIT
2023-05-09,NZDUSD,MONDAY_FALSE_BREAK,SHORT,6,0.6325,0.6375000000000001,0.6275,STOP_HIT
2023-07-28,SP500,LOW_HANGING_FRUIT,SHORT,6,4575.0,4625.0,4500.0,EXPIRED
2023-08-07,SP500,LOW_HANGING_FRUIT,SHORT,5,4500.0,4550.0,4425.0,EXPIRED
2023-09-28,USDCHF,FIRST_RED_DAY,SHORT,5,0.915,0.9225,0.91,T1_HIT
2023-09-28,USDCHF,LOW_HANGING_FRUIT,LONG,4,0.9175,0.9125,0.9275,STOP_HIT
2023-10-23,AUDUSD,INSIDE_FALSE_BREAK,LONG,5,0.6325,0.6275000000000001,0.635,T1_HIT
2023-10-23,NZDUSD,INSIDE_FALSE_BREAK,LONG,5,0.585,0.58,0.5875,STOP_HIT
2023-11-09,XAUUSD,FIRST_GREEN_DAY,LONG,4,1957.5,1942.5,1980.0,STOP_HIT
2023-11-15,EURUSD,FIRST_RED_DAY,SHORT,5,1.085,1.09,1.0775,STOP_HIT
2023-11-30,XAUUSD,FIRST_RED_DAY,SHORT,5,2035.0,2047.5,2015.0,STOP_HIT
2023-11-30,XAUUSD,MONDAY_FALSE_BREAK,SHORT,5,2035.0,2020.0,2000.0,STOP_HIT
2023-12-07,EURUSD,FIRST_GREEN_DAY,LONG,6,1.08,1.075,1.0875,STOP_HIT
2023-12-07,GBPUSD,FIRST_GREEN_DAY,LONG,6,1.26,1.2525,1.27,STOP_HIT
2023-12-15,EURUSD,LOW_HANGING_FRUIT,LONG,4,1.0925,1.085,1.11,EXPIRED
2024-02-02,XAUUSD,LOW_HANGING_FRUIT,LONG,1,2047.5,2027.5,2090.0,STOP_HIT
2024-02-06,USDCAD,MONDAY_FALSE_BREAK,SHORT,6,1.35,1.355,1.345,T1_HIT
2024-02-14,AUDUSD,LOW_HANGING_FRUIT,SHORT,5,0.65,0.655,0.6375,STOP_HIT
2024-04-02,NZDUSD,MONDAY_FALSE_BREAK,LONG,6,0.5975,0.5925,0.6,T1_HIT
2024-04-04,SP500,INSIDE_FALSE_BREAK,SHORT,4,5150.0,5275.0,5175.0,T1_HIT
2024-04-05,SP500,LOW_HANGING_FRUIT,SHORT,1,5200.0,5275.0,5100.0,EXPIRED
2024-04-10,XAUUSD,FIRST_RED_DAY,SHORT,6,2332.5,2362.5,2300.0,STOP_HIT
2024-04-10,XAUUSD,MONDAY_FALSE_BREAK,SHORT,6,2332.5,2355.0,2302.5,STOP_HIT
2024-04-17,EURUSD,FIRST_GREEN_DAY,LONG,5,1.0675,1.06,1.0725,EXPIRED
2024-04-17,USDJPY,FIRST_RED_DAY,SHORT,5,154.25,155.0,153.5,EXPIRED
2024-04-30,SP500,MONDAY_FALSE_BREAK,SHORT,5,5025.0,5125.0,5100.0,T1_HIT
2024-05-24,SP500,LOW_HANGING_FRUIT,SHORT,6,5300.0,5375.0,5200.0,EXPIRED
2024-06-04,EURUSD,MONDAY_FALSE_BREAK,SHORT,4,1.0875,1.0925,1.0825,T1_HIT
2024-06-04,GBPUSD,MONDAY_FALSE_BREAK,SHORT,4,1.2775,1.2825,1.27,EXPIRED
2024-06-04,AUDUSD,MONDAY_FALSE_BREAK,SHORT,4,0.665,0.67,0.6625,T1_HIT
2024-06-05,USDCHF,FIRST_GREEN_DAY,LONG,6,0.8925,0.8875000000000001,0.8975,T1_HIT
2024-06-05,USDCHF,LOW_HANGING_FRUIT,SHORT,5,0.8925,0.8975,0.8825,STOP_HIT
2024-06-12,EURUSD,FIRST_GREEN_DAY,LONG,6,1.08,1.0725,1.085,STOP_HIT
2024-07-04,USDJPY,MONDAY_FALSE_BREAK,SHORT,6,161.25,161.75,160.75,T1_HIT
2024-07-11,SP500,FIRST_RED_DAY,SHORT,6,5600.0,5675.0,5550.0,EXPIRED
2024-07-17,SP500,FIRST_RED_DAY,SHORT,5,5600.0,5675.0,5550.0,T1_HIT
2024-07-26,SP500,LOW_HANGING_FRUIT,SHORT,2,5450.0,5500.0,5325.0,STOP_HIT
2024-08-08,SP500,LOW_HANGING_FRUIT,SHORT,3,5250.0,5350.0,5050.0,STOP_HIT
2024-08-09,NZDUSD,INSIDE_FALSE_BREAK,SHORT,0,0.6,0.605,0.5925,STOP_HIT
2024-08-13,XAUUSD,MONDAY_FALSE_BREAK,SHORT,6,2465.0,2475.0,2422.5,STOP_HIT
2024-08-14,USDCHF,INSIDE_FALSE_BREAK,LONG,4,0.865,0.86,0.87,T1_HIT
2024-08-22,EURUSD,FIRST_RED_DAY,SHORT,5,1.11,1.1175,1.105,STOP_HIT
2024-09-03,SP500,MONDAY_FALSE_BREAK,SHORT,4,5525.0,5675.0,5625.0,T1_HIT
2024-09-05,SP500,MONDAY_FALSE_BREAK,SHORT,4,5500.0,5675.0,5625.0,T1_HIT
2024-09-09,SP500,LOW_HANGING_FRUIT,SHORT,3,5450.0,5525.0,5300.0,STOP_HIT
2024-09-19,XAUUSD,LOW_HANGING_FRUIT,SHORT,4,2572.5,2602.5,2512.5,STOP_HIT
2024-10-07,USDCHF,LOW_HANGING_FRUIT,LONG,3,0.855,0.8475,0.8675,EXPIRED
2024-10-10,XAUUSD,INSIDE_FALSE_BREAK,LONG,2,2630.0,2600.0,2652.5,T1_HIT
2024-10-11,EURUSD,PARABOLIC_REVERSAL,LONG,6,1.0925,1.09,1.105,STOP_HIT
2024-10-15,SP500,MONDAY_FALSE_BREAK,SHORT,5,5825.0,5900.0,5800.0,EXPIRED
2024-10-21,SP500,INSIDE_FALSE_BREAK,LONG,5,5850.0,5800.0,5875.0,STOP_HIT
2024-10-24,XAUUSD,LOW_HANGING_FRUIT,SHORT,4,2732.5,2760.0,2677.5,STOP_HIT
2024-11-07,USDCAD,LOW_HANGING_FRUIT,LONG,3,1.3875,1.3800000000000001,1.4025,EXPIRED
2024-11-08,NZDUSD,LOW_HANGING_FRUIT,LONG,3,0.5975,0.5925,0.61,STOP_HIT
2024-11-08,USDCAD,LOW_HANGING_FRUIT,SHORT,3,1.39,1.3975,1.3775,STOP_HIT
2024-11-25,USDCHF,LOW_HANGING_FRUIT,LONG,4,0.89,0.8825000000000001,0.9025,STOP_HIT
2024-12-11,USDCAD,MONDAY_FALSE_BREAK,SHORT,6,1.415,1.42,1.41,STOP_HIT
